FromNode,ToNode,Distance_Meters,Time_Seconds
19.0,73.0,45404.68,1816.19
73.0,19.0,45404.68,1816.19
43.0,23.0,34790.44,1391.62
23.0,43.0,34790.44,1391.62
43.0,121.0,31090.47,1243.62
121.0,43.0,31090.47,1243.62
78.0,23.0,44012.59,1760.5
23.0,78.0,44012.59,1760.5
78.0,82.0,47267.01,1890.68
82.0,78.0,47267.01,1890.68
78.0,116.0,38281.37,1531.25
116.0,78.0,38281.37,1531.25
78.0,57.0,40173.96,1807.83
57.0,78.0,40173.96,1807.83
192.0,73.0,40113.94,1805.13
73.0,192.0,40113.94,1805.13
15.0,14.0,24105.25,964.21
14.0,15.0,24105.25,964.21
15.0,56.0,61915.3,2476.61
56.0,15.0,61915.3,2476.61
15.0,18.0,126272.17,5050.89
18.0,15.0,126272.17,5050.89
15.0,157.0,24262.26,1091.8
157.0,15.0,24262.26,1091.8
18.0,5.0,28174.43,1126.98
5.0,18.0,28174.43,1126.98
18.0,55.0,84327.06,3373.08
55.0,18.0,84327.06,3373.08
18.0,73.0,49092.36,1963.69
73.0,18.0,49092.36,1963.69
18.0,31.0,75808.1,3032.32
31.0,18.0,75808.1,3032.32
18.0,157.0,88626.69,3545.07
157.0,18.0,88626.69,3545.07
4.0,55.0,40780.61,1631.22
55.0,4.0,40780.61,1631.22
4.0,5.0,25980.25,1039.21
5.0,4.0,25980.25,1039.21
4.0,1085.0,63985.5,2559.42
1085.0,4.0,63985.5,2559.42
55.0,292.0,72525.43,2901.02
292.0,55.0,72525.43,2901.02
55.0,100.0,49210.55,1968.42
100.0,55.0,49210.55,1968.42
5.0,1085.0,105110.19,4204.41
1085.0,5.0,105110.19,4204.41
5.0,1267.0,76316.3,3052.65
1267.0,5.0,76316.3,3052.65
1085.0,285.0,35445.83,1417.83
285.0,1085.0,35445.83,1417.83
1085.0,1113.0,28222.52,1128.9
1113.0,1085.0,28222.52,1128.9
1085.0,1248.0,76687.52,3067.5
1248.0,1085.0,76687.52,3067.5
1267.0,1248.0,27837.43,1113.5
1248.0,1267.0,27837.43,1113.5
1267.0,1287.0,74069.6,2962.78
1287.0,1267.0,74069.6,2962.78
1267.0,1224.0,36081.78,1623.68
1224.0,1267.0,36081.78,1623.68
9.0,10.0,169536.55,6781.46
10.0,9.0,169536.55,6781.46
9.0,49.0,42326.98,1693.08
49.0,9.0,42326.98,1693.08
191.0,174.0,39859.06,1793.66
174.0,191.0,39859.06,1793.66
191.0,26.0,58628.18,2638.27
26.0,191.0,58628.18,2638.27
10.0,79.0,44243.75,1769.75
79.0,10.0,44243.75,1769.75
10.0,25.0,156632.12,6265.28
25.0,10.0,156632.12,6265.28
10.0,106.0,62277.52,2491.1
106.0,10.0,62277.52,2491.1
10.0,88.0,135387.17,5415.49
88.0,10.0,135387.17,5415.49
10.0,90.0,129386.88,5175.48
90.0,10.0,129386.88,5175.48
10.0,22.0,36770.57,1470.82
22.0,10.0,36770.57,1470.82
10.0,67.0,177652.84,7106.11
67.0,10.0,177652.84,7106.11
10.0,36.0,83134.1,3325.36
36.0,10.0,83134.1,3325.36
10.0,116.0,124580.38,4983.22
116.0,10.0,124580.38,4983.22
10.0,57.0,152073.99,6082.96
57.0,10.0,152073.99,6082.96
10.0,51.0,338498.61,13539.94
51.0,10.0,338498.61,13539.94
10.0,48.0,129411.02,5176.44
48.0,10.0,129411.02,5176.44
10.0,91.0,161720.88,6468.84
91.0,10.0,161720.88,6468.84
10.0,72.0,82003.05,3280.12
72.0,10.0,82003.05,3280.12
10.0,47.0,188916.47,7556.66
47.0,10.0,188916.47,7556.66
10.0,165.0,118380.45,4735.22
165.0,10.0,118380.45,4735.22
10.0,174.0,166250.51,6650.02
174.0,10.0,166250.51,6650.02
10.0,84.0,71927.14,2877.09
84.0,10.0,71927.14,2877.09
10.0,60.0,65624.4,2624.98
60.0,10.0,65624.4,2624.98
10.0,135.0,109544.44,4381.78
135.0,10.0,109544.44,4381.78
10.0,82.0,44578.33,2006.02
82.0,10.0,44578.33,2006.02
49.0,91.0,87267.35,3490.69
91.0,49.0,87267.35,3490.69
49.0,92.0,44608.26,1784.33
92.0,49.0,44608.26,1784.33
79.0,82.0,21999.58,879.98
82.0,79.0,21999.58,879.98
79.0,106.0,30735.7,1383.11
106.0,79.0,30735.7,1383.11
25.0,24.0,44683.13,1787.33
24.0,25.0,44683.13,1787.33
25.0,65.0,48091.69,1923.67
65.0,25.0,48091.69,1923.67
25.0,210.0,74159.25,2966.37
210.0,25.0,74159.25,2966.37
25.0,790.0,81842.18,3273.69
790.0,25.0,81842.18,3273.69
25.0,1010.0,58875.57,2355.02
1010.0,25.0,58875.57,2355.02
25.0,46.0,77506.54,3100.26
46.0,25.0,77506.54,3100.26
106.0,135.0,28970.24,1303.66
135.0,106.0,28970.24,1303.66
88.0,87.0,25076.2,1003.05
87.0,88.0,25076.2,1003.05
88.0,90.0,23366.3,1051.48
90.0,88.0,23366.3,1051.48
90.0,165.0,25794.62,1160.76
165.0,90.0,25794.62,1160.76
22.0,109.0,46225.0,1849.0
109.0,22.0,46225.0,1849.0
22.0,46.0,44278.01,1771.12
46.0,22.0,44278.01,1771.12
22.0,36.0,33367.61,1334.7
36.0,22.0,33367.61,1334.7
22.0,116.0,53847.0,2423.11
116.0,22.0,53847.0,2423.11
22.0,1010.0,52359.1,2356.16
1010.0,22.0,52359.1,2356.16
67.0,47.0,52370.67,2094.83
47.0,67.0,52370.67,2094.83
67.0,66.0,24584.82,983.39
66.0,67.0,24584.82,983.39
67.0,168.0,28076.43,1263.44
168.0,67.0,28076.43,1263.44
36.0,60.0,67390.13,2695.61
60.0,36.0,67390.13,2695.61
36.0,1010.0,65310.67,2612.43
1010.0,36.0,65310.67,2612.43
36.0,85.0,70182.51,3158.21
85.0,36.0,70182.51,3158.21
116.0,109.0,44087.29,1983.93
109.0,116.0,44087.29,1983.93
116.0,168.0,37591.59,1691.62
168.0,116.0,37591.59,1691.62
57.0,23.0,57139.3,2285.57
23.0,57.0,57139.3,2285.57
51.0,65.0,120988.1,4839.52
65.0,51.0,120988.1,4839.52
51.0,118.0,175909.71,7036.39
118.0,51.0,175909.71,7036.39
51.0,126.0,166756.65,6670.27
126.0,51.0,166756.65,6670.27
51.0,223.0,76409.03,3056.36
223.0,51.0,76409.03,3056.36
51.0,203.0,277394.08,11095.76
203.0,51.0,277394.08,11095.76
51.0,193.0,91769.14,3670.77
193.0,51.0,91769.14,3670.77
51.0,209.0,119686.41,4787.46
209.0,51.0,119686.41,4787.46
51.0,197.0,72981.21,2919.25
197.0,51.0,72981.21,2919.25
51.0,210.0,68857.11,2754.28
210.0,51.0,68857.11,2754.28
51.0,198.0,199121.24,7964.85
198.0,51.0,199121.24,7964.85
51.0,218.0,113949.56,4557.98
218.0,51.0,113949.56,4557.98
51.0,253.0,120585.64,4823.43
253.0,51.0,120585.64,4823.43
51.0,206.0,132601.58,5304.06
206.0,51.0,132601.58,5304.06
51.0,236.0,178772.42,7150.9
236.0,51.0,178772.42,7150.9
51.0,258.0,164331.0,6573.24
258.0,51.0,164331.0,6573.24
51.0,789.0,122271.16,4890.85
789.0,51.0,122271.16,4890.85
51.0,838.0,155412.43,6216.5
838.0,51.0,155412.43,6216.5
51.0,812.0,147451.15,5898.05
812.0,51.0,147451.15,5898.05
51.0,824.0,194576.0,7783.04
824.0,51.0,194576.0,7783.04
51.0,790.0,200387.19,8015.49
790.0,51.0,200387.19,8015.49
51.0,839.0,128032.32,5121.29
839.0,51.0,128032.32,5121.29
51.0,766.0,155503.05,6220.12
766.0,51.0,155503.05,6220.12
51.0,767.0,180922.8,7236.91
767.0,51.0,180922.8,7236.91
51.0,988.0,193363.0,7734.52
988.0,51.0,193363.0,7734.52
51.0,3648.0,258081.64,10323.27
3648.0,51.0,258081.64,10323.27
51.0,196.0,307923.25,12316.93
196.0,51.0,307923.25,12316.93
51.0,221.0,126295.93,5051.84
221.0,51.0,126295.93,5051.84
51.0,911.0,234130.6,9365.22
911.0,51.0,234130.6,9365.22
51.0,215.0,274295.47,10971.82
215.0,51.0,274295.47,10971.82
51.0,3654.0,305525.83,12221.03
3654.0,51.0,305525.83,12221.03
51.0,213.0,60020.95,2700.94
213.0,51.0,60020.95,2700.94
48.0,60.0,35280.16,1411.21
60.0,48.0,35280.16,1411.21
48.0,72.0,46262.79,1850.51
72.0,48.0,46262.79,1850.51
48.0,85.0,38085.61,1523.42
85.0,48.0,38085.61,1523.42
48.0,167.0,48980.04,2204.1
167.0,48.0,48980.04,2204.1
91.0,160.0,46726.01,1869.04
160.0,91.0,46726.01,1869.04
72.0,84.0,36973.99,1663.83
84.0,72.0,36973.99,1663.83
72.0,167.0,35359.1,1591.16
167.0,72.0,35359.1,1591.16
47.0,66.0,62277.29,2491.09
66.0,47.0,62277.29,2491.09
47.0,56.0,93627.54,3745.1
56.0,47.0,93627.54,3745.1
47.0,143.0,47420.16,1896.81
143.0,47.0,47420.16,1896.81
47.0,168.0,62415.98,2496.64
168.0,47.0,62415.98,2496.64
47.0,134.0,79135.2,3165.41
134.0,47.0,79135.2,3165.41
47.0,173.0,80401.54,3216.06
173.0,47.0,80401.54,3216.06
47.0,70.0,19836.26,793.45
70.0,47.0,19836.26,793.45
47.0,186.0,82821.52,3312.86
186.0,47.0,82821.52,3312.86
165.0,110.0,79679.65,3187.19
110.0,165.0,79679.65,3187.19
174.0,26.0,44792.84,1791.71
26.0,174.0,44792.84,1791.71
84.0,60.0,33152.73,1326.11
60.0,84.0,33152.73,1326.11
60.0,21.0,85080.51,3403.22
21.0,60.0,85080.51,3403.22
14.0,16.0,54296.94,2171.88
16.0,14.0,54296.94,2171.88
14.0,157.0,28057.08,1122.28
157.0,14.0,28057.08,1122.28
14.0,101.0,38222.69,1528.91
101.0,14.0,38222.69,1528.91
14.0,56.0,27040.34,1081.61
56.0,14.0,27040.34,1081.61
16.0,448.0,34023.89,1360.96
448.0,16.0,34023.89,1360.96
16.0,173.0,23295.92,931.84
173.0,16.0,23295.92,931.84
16.0,70.0,47337.38,1893.5
70.0,16.0,47337.38,1893.5
16.0,124.0,42861.95,1714.48
124.0,16.0,42861.95,1714.48
101.0,100.0,25176.84,1007.07
100.0,101.0,25176.84,1007.07
101.0,448.0,67083.91,2683.36
448.0,101.0,67083.91,2683.36
56.0,121.0,23790.03,951.6
121.0,56.0,23790.03,951.6
448.0,17.0,106378.88,4255.16
17.0,448.0,106378.88,4255.16
448.0,279.0,53061.42,2122.46
279.0,448.0,53061.42,2122.46
173.0,70.0,40969.88,1843.64
70.0,173.0,40969.88,1843.64
70.0,17.0,83769.85,3350.79
17.0,70.0,83769.85,3350.79
70.0,143.0,22103.75,884.15
143.0,70.0,22103.75,884.15
124.0,17.0,65556.52,2622.26
17.0,124.0,65556.52,2622.26
124.0,344.0,20382.24,815.29
344.0,124.0,20382.24,815.29
17.0,123.0,75570.18,3022.81
123.0,17.0,75570.18,3022.81
17.0,280.0,81906.05,3276.24
280.0,17.0,81906.05,3276.24
17.0,38.0,66959.41,2678.38
38.0,17.0,66959.41,2678.38
17.0,367.0,73123.56,2924.94
367.0,17.0,73123.56,2924.94
17.0,341.0,77268.18,3090.73
341.0,17.0,77268.18,3090.73
17.0,344.0,63810.71,2552.43
344.0,17.0,63810.71,2552.43
17.0,464.0,43914.25,1756.57
464.0,17.0,43914.25,1756.57
17.0,411.0,124220.09,4968.8
411.0,17.0,124220.09,4968.8
17.0,294.0,46488.78,2091.99
294.0,17.0,46488.78,2091.99
123.0,38.0,43162.1,1726.48
38.0,123.0,43162.1,1726.48
123.0,134.0,35313.54,1412.54
134.0,123.0,35313.54,1412.54
123.0,219.0,68109.73,2724.39
219.0,123.0,68109.73,2724.39
123.0,186.0,115217.46,4608.7
186.0,123.0,115217.46,4608.7
123.0,367.0,69746.68,3138.6
367.0,123.0,69746.68,3138.6
280.0,279.0,35791.1,1431.64
279.0,280.0,35791.1,1431.64
280.0,347.0,42858.36,1714.33
347.0,280.0,42858.36,1714.33
280.0,376.0,43659.46,1746.38
376.0,280.0,43659.46,1746.38
280.0,281.0,100133.35,4005.33
281.0,280.0,100133.35,4005.33
280.0,436.0,47268.92,1890.76
436.0,280.0,47268.92,1890.76
38.0,464.0,29799.7,1340.99
464.0,38.0,29799.7,1340.99
367.0,411.0,40558.08,1622.32
411.0,367.0,40558.08,1622.32
367.0,294.0,29856.01,1343.52
294.0,367.0,29856.01,1343.52
341.0,349.0,29944.93,1197.8
349.0,341.0,29944.93,1197.8
341.0,436.0,31327.19,1253.09
436.0,341.0,31327.19,1253.09
344.0,279.0,29011.52,1160.46
279.0,344.0,29011.52,1160.46
344.0,436.0,24532.3,981.29
436.0,344.0,24532.3,981.29
464.0,134.0,22609.91,1017.45
134.0,464.0,22609.91,1017.45
411.0,291.0,12923.25,516.93
291.0,411.0,12923.25,516.93
411.0,294.0,48841.28,1953.65
294.0,411.0,48841.28,1953.65
411.0,431.0,56481.46,2259.26
431.0,411.0,56481.46,2259.26
73.0,74.0,23889.32,1075.02
74.0,73.0,23889.32,1075.02
31.0,1065.0,92735.42,3709.42
1065.0,31.0,92735.42,3709.42
31.0,1313.0,73332.68,2933.31
1313.0,31.0,73332.68,2933.31
31.0,1332.0,58200.8,2619.04
1332.0,31.0,58200.8,2619.04
74.0,54.0,37982.38,1709.21
54.0,74.0,37982.38,1709.21
110.0,54.0,30175.65,1207.03
54.0,110.0,30175.65,1207.03
54.0,127.0,32331.28,1293.25
127.0,54.0,32331.28,1293.25
54.0,1313.0,65167.13,2606.69
1313.0,54.0,65167.13,2606.69
54.0,178.0,45915.43,2066.19
178.0,54.0,45915.43,2066.19
21.0,790.0,176232.79,7049.31
790.0,21.0,176232.79,7049.31
21.0,27.0,113896.39,4555.86
27.0,21.0,113896.39,4555.86
21.0,35.0,54050.09,2162.0
35.0,21.0,54050.09,2162.0
21.0,85.0,40613.47,1624.54
85.0,21.0,40613.47,1624.54
21.0,26.0,76548.31,3061.93
26.0,21.0,76548.31,3061.93
21.0,146.0,29997.35,1199.89
146.0,21.0,29997.35,1199.89
21.0,162.0,73811.25,2952.45
162.0,21.0,73811.25,2952.45
790.0,85.0,91997.77,3679.91
85.0,790.0,91997.77,3679.91
790.0,812.0,47467.87,1898.71
812.0,790.0,47467.87,1898.71
790.0,3647.0,51541.19,2061.65
3647.0,790.0,51541.19,2061.65
27.0,26.0,66873.02,2674.92
26.0,27.0,66873.02,2674.92
27.0,39.0,85870.87,3434.83
39.0,27.0,85870.87,3434.83
27.0,41.0,45768.29,1830.73
41.0,27.0,45768.29,1830.73
27.0,162.0,24908.52,996.34
162.0,27.0,24908.52,996.34
35.0,146.0,28247.46,1129.9
146.0,35.0,28247.46,1129.9
35.0,3647.0,47953.82,1918.15
3647.0,35.0,47953.82,1918.15
35.0,3792.0,74681.56,2987.26
3792.0,35.0,74681.56,2987.26
35.0,911.0,68329.47,2733.18
911.0,35.0,68329.47,2733.18
35.0,162.0,37691.03,1696.1
162.0,35.0,37691.03,1696.1
85.0,146.0,34554.12,1554.94
146.0,85.0,34554.12,1554.94
26.0,162.0,37501.82,1500.07
162.0,26.0,37501.82,1500.07
26.0,39.0,103277.67,4131.11
39.0,26.0,103277.67,4131.11
146.0,3647.0,66781.12,3005.15
3647.0,146.0,66781.12,3005.15
162.0,41.0,65642.86,2953.93
41.0,162.0,65642.86,2953.93
109.0,46.0,50373.7,2266.82
46.0,109.0,50373.7,2266.82
46.0,126.0,44760.84,1790.43
126.0,46.0,44760.84,1790.43
46.0,210.0,71275.58,3207.4
210.0,46.0,71275.58,3207.4
23.0,121.0,30836.93,1387.66
121.0,23.0,30836.93,1387.66
23.0,143.0,44549.83,2004.74
143.0,23.0,44549.83,2004.74
24.0,161.0,27459.49,1098.38
161.0,24.0,27459.49,1098.38
24.0,65.0,37104.5,1669.7
65.0,24.0,37104.5,1669.7
161.0,65.0,27897.29,1255.38
65.0,161.0,27897.29,1255.38
161.0,1033.0,40188.62,1808.49
1033.0,161.0,40188.62,1808.49
65.0,197.0,70255.6,3161.5
197.0,65.0,70255.6,3161.5
65.0,1033.0,38552.31,1734.85
1033.0,65.0,38552.31,1734.85
39.0,3750.0,50051.6,2002.06
3750.0,39.0,50051.6,2002.06
39.0,3535.0,93899.85,3755.99
3535.0,39.0,93899.85,3755.99
39.0,3639.0,69796.58,3140.85
3639.0,39.0,69796.58,3140.85
41.0,58.0,58462.61,2338.5
58.0,41.0,58462.61,2338.5
41.0,3792.0,65656.64,2954.55
3792.0,41.0,65656.64,2954.55
41.0,3618.0,62034.0,2791.53
3618.0,41.0,62034.0,2791.53
1065.0,1182.0,42651.6,1706.06
1182.0,1065.0,42651.6,1706.06
1065.0,1157.0,37581.65,1503.27
1157.0,1065.0,37581.65,1503.27
1065.0,1313.0,38428.87,1537.15
1313.0,1065.0,38428.87,1537.15
1313.0,178.0,36893.94,1475.76
178.0,1313.0,36893.94,1475.76
1313.0,1182.0,21429.53,857.18
1182.0,1313.0,21429.53,857.18
3647.0,911.0,53315.27,2132.61
911.0,3647.0,53315.27,2132.61
3647.0,1029.0,55224.54,2208.98
1029.0,3647.0,55224.54,2208.98
3792.0,58.0,64392.51,2575.7
58.0,3792.0,64392.51,2575.7
3792.0,988.0,81902.97,3276.12
988.0,3792.0,81902.97,3276.12
3792.0,911.0,71461.79,3215.78
911.0,3792.0,71461.79,3215.78
3792.0,3842.0,21122.84,950.53
3842.0,3792.0,21122.84,950.53
911.0,1029.0,23359.43,1051.17
1029.0,911.0,23359.43,1051.17
3750.0,3535.0,55899.24,2235.97
3535.0,3750.0,55899.24,2235.97
3750.0,3689.0,30525.31,1221.01
3689.0,3750.0,30525.31,1221.01
3535.0,3484.0,67585.0,2703.4
3484.0,3535.0,67585.0,2703.4
3535.0,3615.0,28206.54,1128.26
3615.0,3535.0,28206.54,1128.26
3535.0,3537.0,116521.45,4660.86
3537.0,3535.0,116521.45,4660.86
58.0,822.0,105028.22,4201.13
822.0,58.0,105028.22,4201.13
58.0,3842.0,47999.17,1919.97
3842.0,58.0,47999.17,1919.97
58.0,3654.0,93498.1,3739.92
3654.0,58.0,93498.1,3739.92
58.0,3754.0,45420.89,1816.84
3754.0,58.0,45420.89,1816.84
58.0,3618.0,74506.78,2980.27
3618.0,58.0,74506.78,2980.27
58.0,3753.0,123366.08,4934.64
3753.0,58.0,123366.08,4934.64
58.0,3844.0,49268.89,2217.1
3844.0,58.0,49268.89,2217.1
126.0,253.0,26991.79,1214.63
253.0,126.0,26991.79,1214.63
66.0,117.0,46064.96,1842.6
117.0,66.0,46064.96,1842.6
66.0,186.0,60478.73,2419.15
186.0,66.0,60478.73,2419.15
186.0,219.0,29164.45,1166.58
219.0,186.0,29164.45,1166.58
92.0,1048.0,77403.68,3096.15
1048.0,92.0,77403.68,3096.15
92.0,96.0,30810.49,1232.42
96.0,92.0,30810.49,1232.42
92.0,153.0,38504.0,1732.68
153.0,92.0,38504.0,1732.68
118.0,117.0,20681.65,827.27
117.0,118.0,20681.65,827.27
118.0,77.0,37928.61,1706.79
77.0,118.0,37928.61,1706.79
223.0,197.0,22463.74,898.55
197.0,223.0,22463.74,898.55
223.0,209.0,57315.43,2292.62
209.0,223.0,57315.43,2292.62
223.0,233.0,31635.54,1265.42
233.0,223.0,31635.54,1265.42
223.0,263.0,53438.09,2137.52
263.0,223.0,53438.09,2137.52
223.0,193.0,70903.84,3190.67
193.0,223.0,70903.84,3190.67
203.0,196.0,90651.39,3626.06
196.0,203.0,90651.39,3626.06
203.0,202.0,56720.57,2268.82
202.0,203.0,56720.57,2268.82
203.0,519.0,68219.03,2728.76
519.0,203.0,68219.03,2728.76
203.0,211.0,166497.57,6659.9
211.0,203.0,166497.57,6659.9
203.0,269.0,129838.73,5193.55
269.0,203.0,129838.73,5193.55
203.0,686.0,67522.65,2700.91
686.0,203.0,67522.65,2700.91
193.0,218.0,49164.44,1966.58
218.0,193.0,49164.44,1966.58
193.0,259.0,22550.31,1014.76
259.0,193.0,22550.31,1014.76
209.0,233.0,50999.87,2039.99
233.0,209.0,50999.87,2039.99
209.0,243.0,56721.03,2268.84
243.0,209.0,56721.03,2268.84
209.0,844.0,58866.94,2354.68
844.0,209.0,58866.94,2354.68
209.0,263.0,72436.72,2897.47
263.0,209.0,72436.72,2897.47
209.0,927.0,86039.56,3441.58
927.0,209.0,86039.56,3441.58
209.0,941.0,29452.65,1325.37
941.0,209.0,29452.65,1325.37
197.0,986.0,17433.73,697.35
986.0,197.0,17433.73,697.35
198.0,202.0,23466.3,938.65
202.0,198.0,23466.3,938.65
198.0,207.0,92139.66,3685.59
207.0,198.0,92139.66,3685.59
198.0,264.0,92113.08,3684.52
264.0,198.0,92113.08,3684.52
198.0,512.0,188083.33,7523.33
512.0,198.0,188083.33,7523.33
218.0,753.0,99726.91,3989.08
753.0,218.0,99726.91,3989.08
218.0,949.0,36780.55,1471.22
949.0,218.0,36780.55,1471.22
218.0,893.0,42810.72,1712.43
893.0,218.0,42810.72,1712.43
218.0,760.0,58494.35,2339.77
760.0,218.0,58494.35,2339.77
253.0,206.0,37391.29,1495.65
206.0,253.0,37391.29,1495.65
206.0,77.0,55794.28,2231.77
77.0,206.0,55794.28,2231.77
206.0,245.0,82116.12,3284.64
245.0,206.0,82116.12,3284.64
206.0,264.0,60040.81,2401.63
264.0,206.0,60040.81,2401.63
236.0,195.0,38188.29,1527.53
195.0,236.0,38188.29,1527.53
236.0,196.0,73144.0,2925.76
196.0,236.0,73144.0,2925.76
236.0,202.0,35757.18,1609.07
202.0,236.0,35757.18,1609.07
258.0,195.0,29398.32,1175.93
195.0,258.0,29398.32,1175.93
258.0,760.0,47076.52,2118.44
760.0,258.0,47076.52,2118.44
258.0,213.0,57353.58,2580.91
213.0,258.0,57353.58,2580.91
259.0,233.0,12555.88,502.24
233.0,259.0,12555.88,502.24
789.0,823.0,20863.2,834.53
823.0,789.0,20863.2,834.53
789.0,893.0,25000.06,1125.0
893.0,789.0,25000.06,1125.0
789.0,949.0,23855.14,1073.48
949.0,789.0,23855.14,1073.48
838.0,1003.0,15457.28,618.29
1003.0,838.0,15457.28,618.29
838.0,767.0,36024.55,1621.1
767.0,838.0,36024.55,1621.1
838.0,812.0,43354.45,1950.95
812.0,838.0,43354.45,1950.95
824.0,788.0,57521.02,2300.84
788.0,824.0,57521.02,2300.84
824.0,767.0,27564.12,1240.39
767.0,824.0,27564.12,1240.39
263.0,766.0,43813.73,1752.55
766.0,263.0,43813.73,1752.55
263.0,927.0,28538.95,1141.56
927.0,263.0,28538.95,1141.56
263.0,986.0,35093.84,1579.22
986.0,263.0,35093.84,1579.22
839.0,753.0,83479.98,3339.2
753.0,839.0,83479.98,3339.2
839.0,786.0,53343.31,2133.73
786.0,839.0,53343.31,2133.73
839.0,893.0,22322.05,892.88
893.0,839.0,22322.05,892.88
839.0,243.0,32689.82,1471.04
243.0,839.0,32689.82,1471.04
766.0,740.0,100321.79,4012.87
740.0,766.0,100321.79,4012.87
766.0,767.0,42802.8,1712.11
767.0,766.0,42802.8,1712.11
766.0,927.0,56182.17,2247.29
927.0,766.0,56182.17,2247.29
766.0,989.0,56420.84,2256.83
989.0,766.0,56420.84,2256.83
766.0,991.0,58601.48,2344.06
991.0,766.0,58601.48,2344.06
766.0,965.0,46065.01,1842.6
965.0,766.0,46065.01,1842.6
767.0,930.0,29338.99,1173.56
930.0,767.0,29338.99,1173.56
767.0,1003.0,35906.03,1615.77
1003.0,767.0,35906.03,1615.77
988.0,1029.0,11191.67,447.67
1029.0,988.0,11191.67,447.67
3648.0,3654.0,34596.63,1383.87
3654.0,3648.0,34596.63,1383.87
3648.0,930.0,28489.35,1282.02
930.0,3648.0,28489.35,1282.02
196.0,195.0,94755.98,3790.24
195.0,196.0,94755.98,3790.24
196.0,205.0,52178.64,2087.15
205.0,196.0,52178.64,2087.15
196.0,895.0,54863.04,2194.52
895.0,196.0,54863.04,2194.52
196.0,229.0,82698.69,3307.95
229.0,196.0,82698.69,3307.95
196.0,216.0,107502.43,4300.1
216.0,196.0,107502.43,4300.1
196.0,269.0,33696.21,1347.85
269.0,196.0,33696.21,1347.85
196.0,934.0,68347.92,3075.66
934.0,196.0,68347.92,3075.66
196.0,215.0,39106.85,1759.81
215.0,196.0,39106.85,1759.81
221.0,213.0,17808.58,712.34
213.0,221.0,17808.58,712.34
221.0,245.0,36898.89,1660.45
245.0,221.0,36898.89,1660.45
215.0,269.0,30774.39,1384.85
269.0,215.0,30774.39,1384.85
215.0,205.0,37108.91,1669.9
205.0,215.0,37108.91,1669.9
989.0,965.0,24418.26,1098.82
965.0,989.0,24418.26,1098.82
52.0,53.0,39480.61,1579.22
53.0,52.0,39480.61,1579.22
52.0,87.0,53826.46,2153.06
87.0,52.0,53826.46,2153.06
52.0,160.0,44699.83,1787.99
160.0,52.0,44699.83,1787.99
52.0,127.0,118747.42,4749.9
127.0,52.0,118747.42,4749.9
52.0,1196.0,56102.25,2524.6
1196.0,52.0,56102.25,2524.6
96.0,153.0,24353.2,974.13
153.0,96.0,24353.2,974.13
96.0,185.0,23894.57,1075.26
185.0,96.0,23894.57,1075.26
185.0,1048.0,33542.83,1509.43
1048.0,185.0,33542.83,1509.43
185.0,160.0,35483.82,1596.77
160.0,185.0,35483.82,1596.77
